region_id,name,level,parent
12069474,Planetal,lau,12069
12069485,Rabenstein/Fläming,lau,12069
12069537,Rosenau,lau,12069
12069541,Roskow,lau,12069
12069590,Schwielowsee,lau,12069
12069596,Seddiner See,lau,12069
12069604,Stahnsdorf,lau,12069
12069616,Teltow,lau,12069
12069632,Treuenbrietzen,lau,12069
12069648,"Wenzlow, b Brandenburg an der Havel",lau,12069
12069656,Werder (Havel),lau,12069
12069665,Wiesenburg/Mark,lau,12069
12069680,"Wollin, b Brandenburg an der Havel",lau,12069
12069688,Wusterwitz,lau,12069
12069696,Ziesar,lau,12069
12070008,Bad Wilsnack,lau,12070
12070028,"Berge, b Perleberg",lau,12070
12070052,Breese,lau,12070
12070060,Cumlosen,lau,12070
12070096,Gerdshagen,lau,12070
12070125,Groß Pankow (Prignitz),lau,12070
12070145,Gülitz-Reetz,lau,12070
12070149,Gumtow,lau,12070
12070153,Halenbeck-Rohlsdorf,lau,12070
12070173,"Karstädt, Prignitz",lau,12070
12070222,Kümmernitztal,lau,12070
12070236,Lanz,lau,12070
12070241,Legde/Quitzöbel,lau,12070
12070244,Lenzen (Elbe),lau,12070
12070246,Lenzerwische,lau,12070
12070266,Marienfließ,lau,12070
12070280,Meyenburg,lau,12070
12070296,Perleberg,lau,12070
12070300,Pirow,lau,12070
12070302,Plattenburg,lau,12070
12070316,Pritzwalk,lau,12070
12070325,Putlitz,lau,12070
12070348,Rühstädt,lau,12070
12070393,Triglitz,lau,12070
12070416,Weisen,lau,12070
12070424,Wittenberge,lau,12070
12071028,Briesen,lau,12071
12071032,Burg (Spreewald),lau,12071
12071041,Dissen-Striesow,lau,12071
12071044,Döbern,lau,12071
12071052,Drachhausen,lau,12071
12071057,Drebkau,lau,12071
12071060,Drehnow,lau,12071
12071074,Felixsee,lau,12071
12071076,Forst (Lausitz),lau,12071
12071153,Groß Schacksdorf-Simmersdorf,lau,12071
12071160,Guben,lau,12071
12071164,Guhrow,lau,12071
12071176,Heinersbrück,lau,12071
12071185,Hornow-Wadelsdorf,lau,12071
12071189,Jämlitz-Klein Düben,lau,12071
12071193,Jänschwalde,lau,12071
12071244,Kolkwitz,lau,12071
12071294,Neiße-Malxetal,lau,12071
12071301,Neuhausen/Spree,lau,12071
12071304,Peitz,lau,12071
12071337,Schenkendöbern,lau,12071
12071341,Schmogrow-Fehrow,lau,12071
12071372,Spremberg,lau,12071
12071384,Tauer,lau,12071
12071386,Teichland,lau,12071
12071392,Tschernitz,lau,12071
12071401,Turnow-Preilack,lau,12071
12071408,Welzow,lau,12071
12071412,Werben,lau,12071
12071414,Wiesengrund,lau,12071
12072002,Am Mellensee,lau,12072
12072014,Baruth/Mark,lau,12072
12072017,Blankenfelde-Mahlow,lau,12072
12072053,Dahme/Mark,lau,12072
12072055,Dahmetal,lau,12072
12072120,Großbeeren,lau,12072
12072157,Ihlow,lau,12072
12072169,Jüterbog,lau,12072
12072232,Luckenwalde,lau,12072
12072240,Ludwigsfelde,lau,12072
12072297,Niedergörsdorf,lau,12072
12072298,Niederer Fläming,lau,12072
12072312,Nuthe-Urstromtal,lau,12072
12072340,Rangsdorf,lau,12072
12072426,Trebbin,lau,12072
12072477,Zossen,lau,12072
12073008,Angermünde,lau,12073
12073032,Berkholz-Meyenburg,lau,12073
12073069,Boitzenburger Land,lau,12073
12073085,Brüssow,lau,12073
12073093,Carmzow-Wallmow,lau,12073
12073097,Casekow,lau,12073
12073157,Flieth-Stegelitz,lau,12073
12073189,Gartz (Oder),lau,12073
12073201,Gerswalde,lau,12073
12073216,Göritz,lau,12073
12073225,Gramzow (Uckermark),lau,12073
12073261,"Grünow, b Prenzlau",lau,12073
12073309,Hohenselchow-Groß Pinnow,lau,12073
12073384,Lychen,lau,12073
12073386,Mark Landin,lau,12073
12073393,Mescherin,lau,12073
12073396,Milmersdorf,lau,12073
12073404,"Mittenwalde, b Templin",lau,12073
12073429,Nordwestuckermark,lau,12073
12073430,Oberuckersee,lau,12073
12073440,"Pinnow, b Angermünde",lau,12073
12073452,Prenzlau,lau,12073
12073458,Randowtal,lau,12073
12073490,"Schenkenberg, b Prenzlau",lau,12073
12073505,"Schöneberg, b Angermünde",lau,12073
12073520,"Schönfeld, b Prenzlau",lau,12073
12073532,Schwedt/Oder,lau,12073
12073565,Tantow,lau,12073
12073569,Temmen-Ringenwalde,lau,12073
12073572,Templin,lau,12073
12073578,Uckerfelde,lau,12073
12073579,Uckerland,lau,12073
12073603,Passow,lau,12073
12073645,Zichow,lau,12073
13001000,"Greifswald, krsfr. Stadt",lau,13001
13002000,"Neubrandenburg, krsfr. Stadt",lau,13002
13003000,"Rostock, krsfr. Stadt",lau,13003
13004000,"Schwerin, krsfr. Stadt",lau,13004
13005000,"Stralsund, krsfr. Stadt",lau,13005
13006000,"Wismar, krsfr. Stadt",lau,13006
13051001,Admannshagen-Bargeshagen,lau,13051
13051002,Alt Bukow,lau,13051
13051004,"Bad Doberan, Stadt",lau,13051
13051006,Bartenshagen-Parkentin,lau,13051
13051007,Bastorf,lau,13051
13051008,Benitz,lau,13051
13051009,Bentwisch,lau,13051
13051010,Biendorf,lau,13051
13051011,Blankenhagen,lau,13051
13051013,Börgerende-Rethwisch,lau,13051
13051014,Bröbberow,lau,13051
13051015,Broderstorf,lau,13051
13051016,Cammin,lau,13051
13051017,Damm,lau,13051
13051018,Dummerstorf,lau,13051
13051019,Elmenhorst/Lichtenhagen,lau,13051
13051020,Gelbensande,lau,13051
13051021,Gnewitz,lau,13051
